,Invoice ID,warehouse_name,Shipment_mode,Product line,Unit price,Quantity,shipping cost,Date,Time,Payment,Unit cost,Rating,Customer_ID,Customer type,Country,Gender,Birth_Date,Customer_Address, Street_ID, Street_Number,CustFN
10,351-62-0822,WH3,Special Air  ,Fashion accessories,14.48,4,1.1584,2/6/2019,18:07,Ewallet,13.032,4.1,11,Member,DE,F,10/26/1976,Carl-Zeiss-Str. 15,3940108592.0,15.0,Elke Wallstab
11,529-56-3974,WH3,Special Air  ,Electronic accessories,25.51,4,2.0408,3/9/2019,17:03,Cash,22.959,4.9,12,Member,US,M,10/28/1971,1068 Haithcock Rd,9260103713.0,1068.0,David Black
12,365-64-0515,WH1,Special Air  ,Electronic accessories,46.95,5,3.756,2/12/2019,10:25,Ewallet,42.255,4.5,13,Normal,DE,M,10/28/1968,Iese 1,3940105189.0,1.0,Markus Sepke
13,252-56-2699,WH1,Special Air  ,Food and beverages,43.19,10,3.4552,2/7/2019,16:48,Ewallet,38.871,4.7,14,Normal,FR,M,10/19/2004,Bd des Bouvets 1,3500100630.0,1.0,Albert Eulert
14,829-34-3910,WH1,Special Air  ,Health and beauty,71.38,10,5.7104,3/29/2019,19:21,Cash,64.242,4.7,15,Normal,IT,F,10/19/2004,Viale Matteotti 52,4800101500.0,52.0,Claudia Cambiaggi
15,299-46-1805,WH3,ExpressAir,Sports and travel,93.72,6,9.372,1/15/2019,16:19,Cash,84.348,2.8,16,Member,DE,M,10/29/1966,Oberstr. 61,3940105865.0,61.0,Ulrich Heyde
16,656-95-9349,WH1,Special Air  ,Health and beauty,68.93,7,5.5144,3/11/2019,11:03,Credit card,62.037,4.1,17,Member,US,M,10/31/1957,391 Greywood Dr,9260123306.0,391.0,Jimmie Evans
17,765-26-6951,WH1,ExpressAir,Sports and travel,72.61,6,7.261,1/1/2019,10:39,Credit card,65.349,4.7,18,Normal,US,M,10/30/1962,117 Langtree Ln,9260112361.0,117.0,Tonie Asmussen
18,329-62-1586,WH1,Special Air  ,Food and beverages,54.67,3,4.3736,1/21/2019,18:00,Credit card,49.203,4.6,19,Normal,DE,M,11/2/1949,Hechtsheimerstr. 18,3940106547.0,18.0,Oliver S. Füßling
19,319-50-3348,WH3,ExpressAir,Home and lifestyle,40.3,2,4.03,3/11/2019,15:30,Ewallet,36.27,3.3,20,Normal,US,M,10/21/1999,2187 Draycroft Pl,9260118934.0,2187.0,Michael Dineley
20,300-71-4605,WH2,ExpressAir,Electronic accessories,86.04,5,8.604,2/25/2019,11:24,Ewallet,77.436,2.8,21,Member,ES,M,10/26/1977,C. Santa Hortensia 2,8300100682.0,2.0,José Fernández de Mesa
21,371-85-5789,WH3,ExpressAir,Health and beauty,87.98,3,8.798,3/5/2019,10:40,Ewallet,79.182,4.1,22,Normal,TR,M,10/22/1995,Istilal Caddesi No: 4,9050100003.0,4.0,Vildan Akbas
22,273-16-6619,WH3,Regular Air,Home and lifestyle,33.2,2,1.66,3/15/2019,12:20,Credit card,29.88,3.2,23,Normal,US,M,10/22/1993,1532 Ferdilah Ln,9260126679.0,1532.0,Tulio Devereaux
23,636-48-8204,WH1,ExpressAir,Electronic accessories,34.56,5,3.456,2/17/2019,11:15,Ewallet,31.104,4.4,24,Normal,US,F,10/22/1993,435 Cambrian Way,9260115784.0,435.0,Robyn Klem
24,549-59-1358,WH1,Special Air  ,Sports and travel,88.63,3,7.0904,3/2/2019,17:36,Ewallet,79.767,2.9,25,Member,IT,M,10/23/1991,Via Lampedusa 10,4800102197.0,10.0,Ssilvano Toninelli
25,227-03-5010,WH1,Regular Air,Home and lifestyle,52.59,8,2.6295,3/22/2019,19:20,Credit card,47.331,3.6,26,Member,FR,M,10/25/1981,Rue du Piave 2,3500100022.0,2.0,Didier Serplet
26,649-29-6775,WH3,ExpressAir,Fashion accessories,33.52,1,3.352,2/8/2019,15:31,Cash,30.168,3.6,27,Normal,US,F,10/31/1959,188 Grassy Creek Pl,9260105670.0,188.0,Cynthia Mccluney
27,189-17-4241,WH1,Special Air  ,Fashion accessories,87.67,2,7.0136,3/10/2019,12:17,Credit card,78.903,5.0,28,Normal,IL,M,10/31/1956,Mivtza Kadesh St 33,4750100001.0,33.0,Avinoam Tuvia
28,145-94-9061,WH3,Special Air  ,Food and beverages,88.36,5,7.0688,1/25/2019,19:48,Cash,79.524,4.4,29,Normal,AU,F,10/20/2003,21 Hotham Parade,1600103020.0,21.0,Candy Kinsey
29,848-62-7243,WH1,ExpressAir,Health and beauty,24.89,9,2.489,3/15/2019,15:36,Cash,22.401,4.1,30,Normal,IT,F,10/29/1966,Via G.B. Stucchi 79,4800102656.0,79.0,Barbara Santangelo
30,871-79-8483,WH3,ExpressAir,Fashion accessories,94.13,5,9.413,2/25/2019,19:39,Credit card,84.717,4.7,31,Normal,US,F,10/22/1994,42 Arrowood Ln,9260128428.0,42.0,Cynthia Martinez
31,149-71-6266,WH3,ExpressAir,Sports and travel,78.07,9,7.807,1/28/2019,12:43,Cash,70.263,4.7,32,Member,AU,M,10/26/1978,480 Princess Hwy,1600100985.0,480.0,Gavin Graham
32,640-49-2076,WH3,Regular Air,Sports and travel,83.78,8,4.189,1/10/2019,14:49,Cash,75.402,4.9,33,Normal,DE,M,10/30/1961,Münsterstraße 67,3940102376.0,67.0,Rolf Robak
33,595-11-5460,WH1,Special Air  ,Health and beauty,96.58,2,7.7264,3/15/2019,10:12,Credit card,86.922,3.3,34,Normal,US,M,10/28/1970,844 Glen Eden Dr,9260111379.0,844.0,Alvan Goheen
34,183-56-6882,WH2,Special Air  ,Food and beverages,99.42,4,7.9536,2/6/2019,10:42,Ewallet,89.478,4.6,35,Member,GB,M,10/30/1961,29 Lothian Road,9250101564.0,29.0,Mike Merriott
35,232-16-2483,WH2,Regular Air,Sports and travel,68.12,1,3.406,1/7/2019,12:28,Ewallet,61.308,4.0,36,Member,US,M,10/26/1978,417 Halstead Cir,9260128237.0,417.0,Phenix Hill
36,129-29-8530,WH1,Special Air  ,Sports and travel,62.62,5,5.0096,3/10/2019,19:15,Ewallet,56.358,4.6,37,Member,NL,M,11/1/1953,Jaffalaan 6,6300100615.0,6.0,J.P. Venus
37,272-65-1806,WH1,ExpressAir,Electronic accessories,60.88,9,6.088,1/15/2019,17:17,Ewallet,54.792,2.8,38,Normal,US,M,10/25/1980,1131 Black Bird Ct,9260107593.0,1131.0,Everet Menzie
38,333-73-7901,WH2,ExpressAir,Health and beauty,54.92,8,5.492,3/23/2019,13:24,Ewallet,49.428,3.7,39,Normal,US,M,10/20/2000,4386 Hamrick Dr,9260123099.0,4386.0,Alphone Greenwald
39,777-82-7220,WH3,Regular Air,Home and lifestyle,30.12,8,1.506,3/3/2019,13:01,Cash,27.108,4.2,40,Member,FR,M,10/20/2001,Rue Faidherbe 7,3500100465.0,7.0,Mathieu Chatelin
40,280-35-5823,WH3,Special Air  ,Home and lifestyle,86.72,1,6.9376,1/17/2019,18:45,Ewallet,78.048,4.6,41,Member,AU,M,10/20/2003,9 Angourie Court,1600101527.0,9.0,Wendell Summersby
41,554-53-8700,WH2,ExpressAir,Home and lifestyle,56.11,2,5.611,2/2/2019,10:11,Cash,50.499,4.5,42,Member,DE,M,10/24/1987,Carl Von Linde Str. 13,3940109715.0,13.0,Thomas Leitmann
42,354-25-5821,WH3,Special Air  ,Sports and travel,69.12,6,5.5296,2/8/2019,13:03,Cash,62.208,4.1,43,Member,PT,M,10/31/1956,Av.d.Nuno Álvares Pereira Nº 2,7350100042.0,2.0,António Vidinha
43,228-96-1411,WH2,Regular Air,Food and beverages,98.7,8,4.935,3/4/2019,20:39,Cash,88.83,3.7,44,Member,FR,M,10/21/1997,Bld de la Republique 30,3500100201.0,30.0,Jacky Segretain
44,617-15-4209,WH2,ExpressAir,Health and beauty,15.37,2,1.537,3/16/2019,19:47,Cash,13.833,4.6,45,Member,US,F,10/26/1977,7818 Angier Rd,9260104847.0,7818.0,Dianne Patchin
45,132-32-9879,WH3,Special Air  ,Electronic accessories,93.96,4,7.5168,3/9/2019,18:00,Cash,84.564,2.9,46,Member,FR,F,10/31/1958,Rue Chaplin 32,3500101302.0,32.0,Anne Robain
46,370-41-7321,WH3,Regular Air,Health and beauty,56.69,9,2.8345,2/27/2019,17:24,Credit card,51.021,2.9,47,Member,GB,M,10/30/1962,5 Windsor Road,9250106084.0,5.0,Richard Tompsett
47,727-46-3608,WH3,Special Air  ,Food and beverages,20.01,9,1.6008,2/6/2019,15:47,Ewallet,18.009,4.5,48,Member,IT,F,10/21/1998,Via Casarini 19,4800100367.0,19.0,Daniela Loro Piana
48,669-54-1719,WH3,ExpressAir,Electronic accessories,18.93,6,1.893,2/10/2019,12:45,Credit card,17.037,2.7,49,Member,US,F,10/23/1991,185 Birchford Ct,9260104510.0,185.0,Annmarie Leveille
49,574-22-5561,WH2,Special Air  ,Fashion accessories,82.63,10,6.6104,3/19/2019,17:08,Ewallet,74.367,4.6,50,Member,DE,M,11/2/1949,Humboldtstr. 1,3940105781.0,1.0,Gert-Gunter Mendler
50,326-78-5178,WH2,ExpressAir,Food and beverages,91.4,7,9.14,2/3/2019,10:19,Cash,82.26,3.7,51,Member,FR,M,10/25/1980,Avenue Jean Jaures 15,3500101547.0,15.0,Jean-Claude Nogues
51,162-48-8011,WH1,Special Air  ,Food and beverages,44.59,5,3.5672,2/10/2019,15:10,Cash,40.131,4.7,52,Member,US,M,10/20/2003,1233 Hunters Crossing,9260116235.0,1233.0,Yan Kozlowski
52,616-24-2851,WH3,ExpressAir,Fashion accessories,17.87,4,1.787,3/22/2019,14:42,Ewallet,16.083,2.6,53,Member,AU,F,10/22/1995,131 Franklin St,1600103258.0,131.0,Dericka Pockran
53,778-71-5554,WH2,Regular Air,Fashion accessories,15.43,1,0.7715,1/25/2019,15:46,Credit card,13.887,3.9,54,Member,SE,M,10/25/1982,Västmannagatan 12,8500100463.0,12.0,Ingemar Andersson
54,242-55-6721,WH3,Regular Air,Home and lifestyle,16.16,2,0.808,3/7/2019,11:49,Ewallet,14.544,4.2,55,Normal,US,F,10/31/1957,76 Creekside Dr,9260125331.0,76.0,Barner Matthews
55,399-46-5918,WH2,ExpressAir,Electronic accessories,85.98,8,8.598,2/28/2019,19:01,Cash,77.382,3.0,56,Normal,US,M,10/26/1978,334 Kingsmill Rd,9260111871.0,334.0,Roy Siferd
56,106-35-6779,WH1,Regular Air,Home and lifestyle,44.34,2,2.217,3/27/2019,11:26,Cash,39.906,4.7,57,Member,ZA,M,10/29/1966,Ewald Road 855,8010100022.0,855.0,Rauol Suliman
57,635-40-6220,WH1,Regular Air,Health and beauty,89.6,8,4.48,2/7/2019,11:28,Ewallet,80.64,4.4,58,Normal,IT,M,10/22/1995,Via Delle Terme Di Caracalla 1,4800103784.0,1.0,Vilmo Bortesi
58,817-48-8732,WH1,Regular Air,Home and lifestyle,72.35,10,3.6175,1/20/2019,15:55,Cash,65.115,4.2,59,Member,GB,M,10/30/1963,6 Agar Street,9250102798.0,6.0,Martin Barnes
59,120-06-4233,WH2,Special Air  ,Electronic accessories,30.61,6,2.4488,3/12/2019,20:36,Cash,27.549,4.6,60,Normal,US,F,11/1/1955,2429 Hunt Farms Ln,9260101262.0,2429.0,Tedi Lanzarone
60,285-68-5083,WH2,Special Air  ,Sports and travel,24.74,3,1.9792,2/15/2019,17:47,Credit card,22.266,4.0,61,Member,DE,M,10/21/1998,Münzstr. 28,3940108887.0,28.0,Carsten Maestrini
61,803-83-5989,WH2,ExpressAir,Home and lifestyle,55.73,6,5.573,2/24/2019,10:55,Ewallet,50.157,4.7,62,Normal,US,M,10/25/1980,4282 Hilltop Rd,9260109145.0,4282.0,Ihsan Robertson-Hector
62,347-34-2234,WH3,Regular Air,Sports and travel,55.07,9,2.7535,2/3/2019,13:40,Ewallet,49.563,3.8,63,Member,US,M,10/25/1982,25 Briarforest Pl,9260125492.0,25.0,James Klisurich
63,199-75-8169,WH1,ExpressAir,Sports and travel,15.81,10,1.581,3/6/2019,12:27,Credit card,14.229,2.7,64,Member,BJ,M,10/27/1972,Benin str 1,3110100001.0,1.0,Djosse Atchade
64,853-23-2453,WH3,ExpressAir,Health and beauty,75.74,4,7.574,2/14/2019,14:35,Cash,68.166,4.8,65,Member,DE,F,10/19/2005,Bahnweg 1,3940100176.0,1.0,Ines Deisser
65,877-22-3308,WH1,Special Air  ,Health and beauty,15.87,10,1.2696,3/13/2019,16:40,Cash,14.283,4.8,66,Member,AT,F,10/26/1976,am Modenapark 2,1650100377.0,2.0,Brigitte Harrand
66,838-78-4295,WH2,Special Air  ,Health and beauty,33.47,2,2.6776,2/10/2019,15:43,Ewallet,30.123,4.7,67,Normal,IT,F,10/25/1980,Viale Dante Alighieri 2,4800104244.0,2.0,Laura Donigaglia
67,109-28-2512,WH3,ExpressAir,Fashion accessories,97.61,6,9.761,1/7/2019,15:01,Ewallet,87.849,4.4,68,Member,IT,M,10/22/1995,Piazzale Aldo Moro 4,4800103549.0,4.0,Giorgio Settineri
68,232-11-3025,WH1,Regular Air,Sports and travel,78.77,10,3.9385,1/24/2019,10:04,Cash,70.893,3.9,69,Normal,US,F,10/20/2001,4948 Dargan Hills Dr,9260116402.0,4948.0,Patricia Bertolozzi
69,382-03-4532,WH1,Special Air  ,Health and beauty,18.33,1,1.4664,2/2/2019,18:50,Cash,16.497,4.4,70,Member,CH,M,11/2/1951,Stansstaderstrasse 1,8550100096.0,1.0,Frode Barazzoni
70,393-65-2792,WH2,Special Air  ,Food and beverages,89.48,10,7.1584,1/6/2019,12:46,Credit card,80.532,4.2,71,Normal,US,F,10/31/1957,290 Glenwood Ave,9260124130.0,290.0,Viola Folsom
71,796-12-2025,WH2,ExpressAir,Fashion accessories,62.12,10,6.212,2/11/2019,16:19,Cash,55.908,2.9,72,Normal,ES,F,10/20/2003,Apartado 64,8300100254.0,64.0,Mónica Aranda Unzurrunzaga
72,510-95-6347,WH3,ExpressAir,Food and beverages,48.52,3,4.852,3/5/2019,18:17,Ewallet,43.668,2.9,73,Member,ES,F,10/23/1990,C. Conde de Peñalver 68,8300100485.0,68.0,Pilar Bachs Pallarés
73,841-35-6630,WH2,Regular Air,Electronic accessories,75.91,6,3.7955,3/9/2019,18:21,Cash,68.319,2.7,74,Normal,IT,F,10/29/1967,Via Sile 3,4800102386.0,3.0,Pamela Sandrucci
74,287-21-9091,WH1,ExpressAir,Home and lifestyle,74.67,9,7.467,1/22/2019,10:55,Ewallet,67.203,4.5,75,Normal,US,M,10/30/1961,101 Knoll Ridge Ln,9260108068.0,101.0,Mikel Spetz
75,732-94-0499,WH2,ExpressAir,Electronic accessories,41.65,10,4.165,1/13/2019,17:04,Credit card,37.485,2.7,76,Normal,GB,F,10/20/2002,1 Star Barn Road,9250100780.0,1.0,Marcelle Fani-Kayode
76,263-10-3913,WH2,Regular Air,Fashion accessories,49.04,9,2.452,1/9/2019,14:20,Credit card,44.136,4.2,77,Member,DE,F,11/2/1949,Xantenerstr. 81,3940105972.0,81.0,Stefanie Gecht
77,381-20-0914,WH1,Regular Air,Fashion accessories,20.01,9,1.0005,1/12/2019,15:48,Credit card,18.009,3.3,78,Member,GB,M,10/20/2001,18 Doncaster Road,9250106861.0,18.0,Steph Usborne
78,829-49-1914,WH2,Special Air  ,Food and beverages,78.31,10,6.2648,3/5/2019,16:24,Ewallet,70.479,4.7,79,Member,US,F,10/22/1995,9658 Dinwiddie Ct,9260101874.0,9658.0,Najma Hicks
79,756-01-7507,WH2,ExpressAir,Health and beauty,20.38,5,2.038,1/22/2019,18:56,Cash,18.342,2.6,80,Normal,NO,F,10/28/1970,Fred Olsens Gate 2,6850100310.0,2.0,Therese Martinsen
80,870-72-4431,WH2,ExpressAir,Health and beauty,99.19,6,9.919,1/21/2019,14:42,Credit card,89.271,3.3,81,Normal,AT,M,10/29/1967,Fleischmarkt 2,1650100184.0,2.0,Tianzhu Egger
81,847-38-7188,WH3,ExpressAir,Food and beverages,96.68,3,9.668,1/26/2019,19:56,Ewallet,87.012,2.6,82,Normal,FI,M,11/1/1952,Elimäenkatu 20,3400100450.0,20.0,Juha Viholainen
82,480-63-2856,WH2,Regular Air,Food and beverages,19.25,8,0.9625,1/23/2019,18:37,Ewallet,17.325,4.0,83,Normal,DE,F,10/28/1969,Friedrichsplatz 2,3940102074.0,2.0,Katrin Singldinger
83,787-56-0757,WH2,Special Air  ,Food and beverages,80.36,4,6.4288,2/23/2019,18:45,Credit card,72.324,4.1,84,Member,FR,F,10/31/1956,Route d'Espagne 97,3500101472.0,97.0,Catherine Gaillard
84,360-39-5055,WH2,Regular Air,Sports and travel,48.91,5,2.4455,3/9/2019,10:17,Cash,44.019,4.4,85,Member,US,F,10/31/1958,1506 Dahlgreen Rd,9260129415.0,1506.0,Neatta Duckworth
85,730-50-9884,WH2,Regular Air,Sports and travel,83.06,7,4.153,3/5/2019,14:31,Ewallet,74.754,4.5,86,Normal,GB,M,10/21/1996,5 Coombe Road,9250102487.0,5.0,Andy Goldsmith
86,362-58-8315,WH2,Special Air  ,Fashion accessories,76.52,5,6.1216,3/25/2019,10:23,Cash,68.868,3.7,87,Normal,FR,F,10/30/1963,Rue d'Assas 90,3500101043.0,90.0,Marie-Helene Destombes
87,633-44-8566,WH1,Special Air  ,Food and beverages,49.38,7,3.9504,3/27/2019,20:35,Credit card,44.442,3.7,88,Member,US,M,10/27/1975,3815 Askham Dr,9260100179.0,3815.0,Attila Gibbs
88,504-35-8843,WH1,Special Air  ,Sports and travel,42.47,1,3.3976,1/2/2019,16:57,Cash,38.223,3.5,89,Normal,US,F,10/29/1967,2572 Glenharden Dr,9260116551.0,2572.0,Wynella Lewis
89,318-68-5053,WH3,ExpressAir,Health and beauty,76.99,6,7.699,2/27/2019,17:55,Cash,69.291,3.6,90,Normal,US,F,10/28/1970,252 Clay St,9260111614.0,252.0,Kyndal Hooks
90,565-80-5980,WH2,ExpressAir,Home and lifestyle,47.38,4,4.738,1/23/2019,10:25,Cash,42.642,2.9,91,Member,IT,F,11/2/1950,Via C.Saladini 27,4800102008.0,27.0,Rosy Dalli
91,225-32-0908,WH2,ExpressAir,Sports and travel,44.86,10,4.486,1/26/2019,19:54,Ewallet,40.374,4.6,92,Normal,US,M,10/25/1981,421 Blue Horizon Dr,9260117676.0,421.0,Lendon Celii
92,873-51-0671,WH1,ExpressAir,Sports and travel,21.98,7,2.198,1/10/2019,16:42,Ewallet,19.782,4.4,93,Member,CH,F,11/2/1951,General Suisan Quai 19,8550100104.0,19.0,Nathalie Mühlig
93,152-08-9985,WH3,Special Air  ,Health and beauty,64.36,9,5.1488,3/12/2019,12:09,Credit card,57.924,4.5,94,Member,GB,F,10/26/1976,15 Cavendish Sq,9250103281.0,15.0,Samantha Best
94,512-91-0811,WH2,Regular Air,Health and beauty,89.75,1,4.4875,2/6/2019,20:05,Credit card,80.775,4.6,95,Normal,NL,M,10/19/2005,Verwersstraat 13,6300100015.0,13.0,F.R.E. Kuijpers
95,594-34-4444,WH1,Regular Air,Electronic accessories,97.16,1,4.858,3/8/2019,20:38,Ewallet,87.444,3.8,96,Normal,GB,M,10/19/2004,1 Burston Rd,9250103201.0,1.0,Jim Coates
96,766-85-7061,WH3,Regular Air,Health and beauty,87.87,10,4.3935,3/29/2019,10:25,Ewallet,79.083,3.6,97,Normal,ES,M,10/28/1971,C. Industria 36,8300100326.0,36.0,Francisco Izquierdo Pereira
97,871-39-9221,WH2,Special Air  ,Electronic accessories,12.45,6,0.996,2/9/2019,13:11,Cash,11.205,4.8,98,Normal,US,F,10/29/1965,286 Arthur Pierce Rd,9260108396.0,286.0,Pershell Wittich
98,865-92-6136,WH1,Special Air  ,Food and beverages,52.75,3,4.22,3/23/2019,10:16,Ewallet,47.475,2.6,99,Normal,US,F,10/31/1958,3627 Dahlgreen Rd,9260103908.0,3627.0,Geanie Riddle
99,733-01-9107,WH3,Special Air  ,Home and lifestyle,82.7,6,6.616,3/5/2019,18:14,Cash,74.43,3.7,100,Normal,ZA,M,10/24/1985,Fourways Office Park 1,8010100032.0,1.0,George Lotz
100,163-56-7055,WH2,ExpressAir,Fashion accessories,48.71,1,4.871,3/26/2019,19:20,Cash,43.839,2.7,101,Member,FR,F,10/29/1964,Rue de Vantadour 4,3500101106.0,4.0,Christine Herfroy
101,189-98-2939,WH2,ExpressAir,Fashion accessories,78.55,9,7.855,3/1/2019,13:22,Cash,70.695,4.6,102,Normal,US,M,10/29/1966,176 Conifer Dr,9260120821.0,176.0,Orlando Movassaghi
102,551-21-3069,WH2,Special Air  ,Electronic accessories,23.07,9,1.8456,2/1/2019,11:27,Cash,20.763,4.8,103,Normal,US,F,10/27/1973,2001 Lake Boone Trl,9260107756.0,2001.0,Judy Hicks
103,212-62-1842,WH1,Regular Air,Food and beverages,58.26,6,2.913,3/28/2019,16:44,Cash,52.434,4.0,104,Normal,US,F,10/30/1963,1533 Canterfield Rd,9260126060.0,1533.0,Markisha Schopen
104,716-39-1409,WH3,Regular Air,Health and beauty,30.35,7,1.5175,3/19/2019,18:19,Cash,27.315,4.4,105,Normal,FR,M,10/25/1980,Rue Auguste Lancon 17,3500100912.0,17.0,Guillaume Delerba
105,704-48-3927,WH1,Regular Air,Electronic accessories,88.67,10,4.4335,1/12/2019,14:50,Ewallet,79.803,3.6,106,Member,FR,M,10/29/1966,Avenue des Nations - Bp 50394 16,3500101287.0,16.0,Jean-Joseph Bouquin
106,628-34-3388,WH2,Special Air  ,Fashion accessories,27.38,6,2.1904,1/5/2019,20:54,Credit card,24.642,3.7,107,Normal,US,F,10/20/2000,214 Enid Pl,9260125050.0,214.0,Marsah Gillespie
107,630-74-5166,WH1,ExpressAir,Sports and travel,62.13,6,6.213,3/22/2019,20:19,Cash,55.917,3.1,108,Normal,DE,F,11/1/1955,Elbestr. 3,3940106776.0,3.0,Katja Delesen
108,588-01-7461,WH2,Regular Air,Food and beverages,33.98,9,1.699,3/24/2019,10:43,Cash,30.582,3.4,109,Normal,GB,M,10/28/1969,32 Hertford Street,9250100920.0,32.0,Jim Ziolowski
109,861-77-0145,WH2,Special Air  ,Electronic accessories,81.97,10,6.5576,3/3/2019,14:30,Cash,73.773,2.6,110,Member,TR,F,10/27/1973,Korzay Apt. No: 1,9050100021.0,1.0,Ayca Yolgegenli
110,479-26-8945,WH3,ExpressAir,Sports and travel,16.49,2,1.649,2/5/2019,11:32,Ewallet,14.841,4.0,111,Member,AU,F,11/2/1949,28 Munibung Road,1600102072.0,28.0,Karolina Dokter
111,210-67-5886,WH2,ExpressAir,Health and beauty,98.21,3,9.821,2/5/2019,10:41,Credit card,88.389,5.0,112,Member,US,M,10/24/1986,284 Fort Sumter Rd,9260126535.0,284.0,Sanjay Avram
112,227-78-1148,WH3,ExpressAir,Fashion accessories,72.84,7,7.284,2/15/2019,12:44,Cash,65.556,4.3,113,Normal,CH,F,10/31/1956,Avenue Nestle 16,8550100102.0,16.0,Anna Spinelli
113,645-44-1170,WH1,ExpressAir,Home and lifestyle,58.07,9,5.807,1/19/2019,20:07,Ewallet,52.263,3.1,114,Member,ES,F,10/27/1972,Av. De la Moncloa 1,8300100400.0,1.0,Mónica Arévalo
114,237-01-6122,WH2,Regular Air,Home and lifestyle,80.79,9,4.0395,2/1/2019,20:31,Credit card,72.711,3.7,115,Member,US,M,10/25/1981,351 Aspen Mountain Ct,9260103862.0,351.0,Janero Fredley
115,225-98-1496,WH2,Special Air  ,Fashion accessories,27.02,3,2.1616,3/2/2019,13:01,Credit card,24.318,3.8,116,Normal,FR,M,10/30/1961,Bd des Chenes - Bat Champagne 73,3500100355.0,73.0,Francois Fabre
116,291-32-1427,WH3,Special Air  ,Fashion accessories,21.94,5,1.7552,3/5/2019,12:29,Ewallet,19.746,3.4,117,Member,US,M,10/25/1980,577 Beech Wood Ct,9260107095.0,577.0,Carson Galloway
117,659-65-8956,WH3,Special Air  ,Fashion accessories,51.36,1,4.1088,1/16/2019,15:26,Ewallet,46.224,4.6,118,Member,BE,F,10/29/1964,Grand Place 30,1900110518.0,30.0,Annelies Paasonen
118,642-32-2990,WH1,ExpressAir,Food and beverages,10.96,10,1.096,2/2/2019,20:48,Ewallet,9.864,4.8,119,Normal,SE,M,10/19/2004,Hornsgatan 13,8500100325.0,13.0,Karl Krafft
119,378-24-2715,WH3,ExpressAir,Home and lifestyle,53.44,2,5.344,1/20/2019,20:38,Ewallet,48.096,4.3,120,Normal,US,F,10/26/1978,2567 Hawthorne Way,9260105317.0,2567.0,Joann Ayscue
120,638-60-7125,WH1,ExpressAir,Electronic accessories,99.56,8,9.956,2/14/2019,17:03,Credit card,89.604,4.0,121,Normal,IT,M,10/29/1964,Via Tuscolana 541,4800104104.0,541.0,Carlo Luppi
121,659-36-1684,WH2,Regular Air,Sports and travel,57.12,7,2.856,1/12/2019,12:02,Credit card,51.408,4.2,122,Member,FR,F,10/20/2003,Avenue de Friedland 1,3500100783.0,1.0,Florence Ibach
122,219-22-9386,WH3,Special Air  ,Sports and travel,99.96,9,7.9968,3/9/2019,17:26,Credit card,89.964,4.8,123,Member,GB,M,10/23/1988,103 Belsize Road,9250102970.0,103.0,Ernie Hotten
