Invoice ID,warehouse_name,Shipment_mode,Product line,Unit price,Quantity,shipping cost,Date,Time,Payment,Unit cost,Rating,Customer_ID,Customer type,Country,Gender,Birth_Date,Customer_Address, Street_ID, Street_Number,CustFN,age_when_order,month,total_income,total_cost,total_profit
649-29-6775,WH3,ExpressAir,Fashion accessories,33.52,1,3.352,2019-02-08,15:31,Cash,30.168,3.6,27,Normal,US,F,1959-10-31,188 Grassy Creek Pl,9260105670.0,188.0,Cynthia Mccluney,59.27446954140999,February,33.52,30.168,3.352000000000004
189-17-4241,WH1,Special Air  ,Fashion accessories,87.67,2,7.0136,2019-03-10,12:17,Credit card,78.903,5.0,28,Normal,IL,M,1956-10-31,Mivtza Kadesh St 33,4750100001.0,33.0,Avinoam Tuvia,62.35455167693361,March,175.34,157.806,17.533999999999992
145-94-9061,WH3,Special Air  ,Food and beverages,88.36,5,7.0688,2019-01-25,19:48,Cash,79.524,4.4,29,Normal,AU,F,2003-10-20,21 Hotham Parade,1600103020.0,21.0,Candy Kinsey,15.266255989048597,January,441.8,397.62,44.18000000000001
848-62-7243,WH1,ExpressAir,Health and beauty,24.89,9,2.489,2019-03-15,15:36,Cash,22.401,4.1,30,Normal,IT,F,1966-10-29,Via G.B. Stucchi 79,4800102656.0,79.0,Barbara Santangelo,52.375085557837096,March,224.01,201.609,22.400999999999982
871-79-8483,WH3,ExpressAir,Fashion accessories,94.13,5,9.413,2019-02-25,19:39,Credit card,84.717,4.7,31,Normal,US,F,1994-10-22,42 Arrowood Ln,9260128428.0,42.0,Cynthia Martinez,24.344969199178646,February,470.65,423.585,47.065
149-71-6266,WH3,ExpressAir,Sports and travel,78.07,9,7.807,2019-01-28,12:43,Cash,70.263,4.7,32,Member,AU,M,1978-10-26,480 Princess Hwy,1600100985.0,480.0,Gavin Graham,40.257357973990416,January,702.6299999999999,632.3670000000001,70.2629999999998
640-49-2076,WH3,Regular Air,Sports and travel,83.78,8,4.189,2019-01-10,14:49,Cash,75.402,4.9,33,Normal,DE,M,1961-10-30,Münsterstraße 67,3940102376.0,67.0,Rolf Robak,57.19644079397673,January,670.24,603.216,67.024
595-11-5460,WH1,Special Air  ,Health and beauty,96.58,2,7.7264,2019-03-15,10:12,Credit card,86.922,3.3,34,Normal,US,M,1970-10-28,844 Glen Eden Dr,9260111379.0,844.0,Alvan Goheen,48.37782340862423,March,193.16,173.844,19.316000000000003
183-56-6882,WH2,Special Air  ,Food and beverages,99.42,4,7.9536,2019-02-06,10:42,Ewallet,89.478,4.6,35,Member,GB,M,1961-10-30,29 Lothian Road,9250101564.0,29.0,Mike Merriott,57.270362765229294,February,397.68,357.912,39.76800000000003
232-16-2483,WH2,Regular Air,Sports and travel,68.12,1,3.406,2019-01-07,12:28,Ewallet,61.308,4.0,36,Member,US,M,1978-10-26,417 Halstead Cir,9260128237.0,417.0,Phenix Hill,40.199863107460644,January,68.12,61.308,6.812000000000005
129-29-8530,WH1,Special Air  ,Sports and travel,62.62,5,5.0096,2019-03-10,19:15,Ewallet,56.358,4.6,37,Member,NL,M,1953-11-01,Jaffalaan 6,6300100615.0,6.0,J.P. Venus,65.35249828884326,March,313.09999999999997,281.78999999999996,31.310000000000002
272-65-1806,WH1,ExpressAir,Electronic accessories,60.88,9,6.088,2019-01-15,17:17,Ewallet,54.792,2.8,38,Normal,US,M,1980-10-25,1131 Black Bird Ct,9260107593.0,1131.0,Everet Menzie,38.223134839151264,January,547.9200000000001,493.12800000000004,54.79200000000003
333-73-7901,WH2,ExpressAir,Health and beauty,54.92,8,5.492,2019-03-23,13:24,Ewallet,49.428,3.7,39,Normal,US,M,2000-10-20,4386 Hamrick Dr,9260123099.0,4386.0,Alphone Greenwald,18.420260095824776,March,439.36,395.424,43.936000000000035
777-82-7220,WH3,Regular Air,Home and lifestyle,30.12,8,1.506,2019-03-03,13:01,Cash,27.108,4.2,40,Member,FR,M,2001-10-20,Rue Faidherbe 7,3500100465.0,7.0,Mathieu Chatelin,17.366187542778917,March,240.96,216.864,24.096000000000004
280-35-5823,WH3,Special Air  ,Home and lifestyle,86.72,1,6.9376,2019-01-17,18:45,Ewallet,78.048,4.6,41,Member,AU,M,2003-10-20,9 Angourie Court,1600101527.0,9.0,Wendell Summersby,15.24435318275154,January,86.72,78.048,8.671999999999997
554-53-8700,WH2,ExpressAir,Home and lifestyle,56.11,2,5.611,2019-02-02,10:11,Cash,50.499,4.5,42,Member,DE,M,1987-10-24,Carl Von Linde Str. 13,3940109715.0,13.0,Thomas Leitmann,31.277207392197127,February,112.22,100.998,11.221999999999994
354-25-5821,WH3,Special Air  ,Sports and travel,69.12,6,5.5296,2019-02-08,13:03,Cash,62.208,4.1,43,Member,PT,M,1956-10-31,Av.d.Nuno Álvares Pereira Nº 2,7350100042.0,2.0,António Vidinha,62.27241615331965,February,414.72,373.248,41.47200000000004
228-96-1411,WH2,Regular Air,Food and beverages,98.7,8,4.935,2019-03-04,20:39,Cash,88.83,3.7,44,Member,FR,M,1997-10-21,Bld de la Republique 30,3500100201.0,30.0,Jacky Segretain,21.366187542778917,March,789.6,710.64,78.96000000000004
617-15-4209,WH2,ExpressAir,Health and beauty,15.37,2,1.537,2019-03-16,19:47,Cash,13.833,4.6,45,Member,US,F,1977-10-26,7818 Angier Rd,9260104847.0,7818.0,Dianne Patchin,41.385352498288846,March,30.74,27.666,3.073999999999998
132-32-9879,WH3,Special Air  ,Electronic accessories,93.96,4,7.5168,2019-03-09,18:00,Cash,84.564,2.9,46,Member,FR,F,1958-10-31,Rue Chaplin 32,3500101302.0,32.0,Anne Robain,60.35318275154004,March,375.84,338.256,37.584
370-41-7321,WH3,Regular Air,Health and beauty,56.69,9,2.8345,2019-02-27,17:24,Credit card,51.021,2.9,47,Member,GB,M,1962-10-30,5 Windsor Road,9250106084.0,5.0,Richard Tompsett,56.328542094455855,February,510.21,459.189,51.02099999999996
727-46-3608,WH3,Special Air  ,Food and beverages,20.01,9,1.6008,2019-02-06,15:47,Ewallet,18.009,4.5,48,Member,IT,F,1998-10-21,Via Casarini 19,4800100367.0,19.0,Daniela Loro Piana,20.295687885010267,February,180.09,162.08100000000002,18.008999999999986
669-54-1719,WH3,ExpressAir,Electronic accessories,18.93,6,1.893,2019-02-10,12:45,Credit card,17.037,2.7,49,Member,US,F,1991-10-23,185 Birchford Ct,9260104510.0,185.0,Annmarie Leveille,27.301848049281315,February,113.58,102.222,11.358000000000004
574-22-5561,WH2,Special Air  ,Fashion accessories,82.63,10,6.6104,2019-03-19,17:08,Ewallet,74.367,4.6,50,Member,DE,M,1949-11-02,Humboldtstr. 1,3940105781.0,1.0,Gert-Gunter Mendler,69.37440109514031,March,826.3,743.6700000000001,82.62999999999988
326-78-5178,WH2,ExpressAir,Food and beverages,91.4,7,9.14,2019-02-03,10:19,Cash,82.26,3.7,51,Member,FR,M,1980-10-25,Avenue Jean Jaures 15,3500101547.0,15.0,Jean-Claude Nogues,38.275154004106774,February,639.8000000000001,575.82,63.98000000000002
162-48-8011,WH1,Special Air  ,Food and beverages,44.59,5,3.5672,2019-02-10,15:10,Cash,40.131,4.7,52,Member,US,M,2003-10-20,1233 Hunters Crossing,9260116235.0,1233.0,Yan Kozlowski,15.31006160164271,February,222.95000000000002,200.655,22.295000000000016
616-24-2851,WH3,ExpressAir,Fashion accessories,17.87,4,1.787,2019-03-22,14:42,Ewallet,16.083,2.6,53,Member,AU,F,1995-10-22,131 Franklin St,1600103258.0,131.0,Dericka Pockran,23.41409993155373,March,71.48,64.332,7.14800000000001
778-71-5554,WH2,Regular Air,Fashion accessories,15.43,1,0.7715,2019-01-25,15:46,Credit card,13.887,3.9,54,Member,SE,M,1982-10-25,Västmannagatan 12,8500100463.0,12.0,Ingemar Andersson,36.251882272416154,January,15.43,13.887,1.5429999999999993
242-55-6721,WH3,Regular Air,Home and lifestyle,16.16,2,0.808,2019-03-07,11:49,Ewallet,14.544,4.2,55,Normal,US,F,1957-10-31,76 Creekside Dr,9260125331.0,76.0,Barner Matthews,61.347022587268995,March,32.32,29.088,3.2319999999999993
399-46-5918,WH2,ExpressAir,Electronic accessories,85.98,8,8.598,2019-02-28,19:01,Cash,77.382,3.0,56,Normal,US,M,1978-10-26,334 Kingsmill Rd,9260111871.0,334.0,Roy Siferd,40.342231348391515,February,687.84,619.056,68.78399999999999
106-35-6779,WH1,Regular Air,Home and lifestyle,44.34,2,2.217,2019-03-27,11:26,Cash,39.906,4.7,57,Member,ZA,M,1966-10-29,Ewald Road 855,8010100022.0,855.0,Rauol Suliman,52.407939767282684,March,88.68,79.812,8.86800000000001
635-40-6220,WH1,Regular Air,Health and beauty,89.6,8,4.48,2019-02-07,11:28,Ewallet,80.64,4.4,58,Normal,IT,M,1995-10-22,Via Delle Terme Di Caracalla 1,4800103784.0,1.0,Vilmo Bortesi,23.29637234770705,February,716.8,645.12,71.67999999999995
817-48-8732,WH1,Regular Air,Home and lifestyle,72.35,10,3.6175,2019-01-20,15:55,Cash,65.115,4.2,59,Member,GB,M,1963-10-30,6 Agar Street,9250102798.0,6.0,Martin Barnes,55.22518822724162,January,723.5,651.15,72.35000000000002
120-06-4233,WH2,Special Air  ,Electronic accessories,30.61,6,2.4488,2019-03-12,20:36,Cash,27.549,4.6,60,Normal,US,F,1955-11-01,2429 Hunt Farms Ln,9260101262.0,2429.0,Tedi Lanzarone,63.35934291581109,March,183.66,165.29399999999998,18.366000000000014
285-68-5083,WH2,Special Air  ,Sports and travel,24.74,3,1.9792,2019-02-15,17:47,Credit card,22.266,4.0,61,Member,DE,M,1998-10-21,Münzstr. 28,3940108887.0,28.0,Carsten Maestrini,20.320328542094455,February,74.22,66.798,7.421999999999997
803-83-5989,WH2,ExpressAir,Home and lifestyle,55.73,6,5.573,2019-02-24,10:55,Ewallet,50.157,4.7,62,Normal,US,M,1980-10-25,4282 Hilltop Rd,9260109145.0,4282.0,Ihsan Robertson-Hector,38.332648870636554,February,334.38,300.942,33.43799999999999
347-34-2234,WH3,Regular Air,Sports and travel,55.07,9,2.7535,2019-02-03,13:40,Ewallet,49.563,3.8,63,Member,US,M,1982-10-25,25 Briarforest Pl,9260125492.0,25.0,James Klisurich,36.276522929500345,February,495.63,446.067,49.56299999999999
199-75-8169,WH1,ExpressAir,Sports and travel,15.81,10,1.581,2019-03-06,12:27,Credit card,14.229,2.7,64,Member,BJ,M,1972-10-27,Benin str 1,3110100001.0,1.0,Djosse Atchade,46.35455167693361,March,158.1,142.29,15.810000000000002
853-23-2453,WH3,ExpressAir,Health and beauty,75.74,4,7.574,2019-02-14,14:35,Cash,68.166,4.8,65,Member,DE,F,2005-10-19,Bahnweg 1,3940100176.0,1.0,Ines Deisser,13.322381930184806,February,302.96,272.664,30.295999999999992
877-22-3308,WH1,Special Air  ,Health and beauty,15.87,10,1.2696,2019-03-13,16:40,Cash,14.283,4.8,66,Member,AT,F,1976-10-26,am Modenapark 2,1650100377.0,2.0,Brigitte Harrand,42.37645448323067,March,158.7,142.82999999999998,15.870000000000005
838-78-4295,WH2,Special Air  ,Health and beauty,33.47,2,2.6776,2019-02-10,15:43,Ewallet,30.123,4.7,67,Normal,IT,F,1980-10-25,Viale Dante Alighieri 2,4800104244.0,2.0,Laura Donigaglia,38.2943189596167,February,66.94,60.246,6.6939999999999955
109-28-2512,WH3,ExpressAir,Fashion accessories,97.61,6,9.761,2019-01-07,15:01,Ewallet,87.849,4.4,68,Member,IT,M,1995-10-22,Piazzale Aldo Moro 4,4800103549.0,4.0,Giorgio Settineri,23.211498973305954,January,585.66,527.094,58.56599999999992
232-11-3025,WH1,Regular Air,Sports and travel,78.77,10,3.9385,2019-01-24,10:04,Cash,70.893,3.9,69,Normal,US,F,2001-10-20,4948 Dargan Hills Dr,9260116402.0,4948.0,Patricia Bertolozzi,17.2621492128679,January,787.6999999999999,708.9300000000001,78.76999999999987
382-03-4532,WH1,Special Air  ,Health and beauty,18.33,1,1.4664,2019-02-02,18:50,Cash,16.497,4.4,70,Member,CH,M,1951-11-02,Stansstaderstrasse 1,8550100096.0,1.0,Frode Barazzoni,67.25256673511294,February,18.33,16.497,1.8329999999999984
393-65-2792,WH2,Special Air  ,Food and beverages,89.48,10,7.1584,2019-01-06,12:46,Credit card,80.532,4.2,71,Normal,US,F,1957-10-31,290 Glenwood Ave,9260124130.0,290.0,Viola Folsom,61.18275154004107,January,894.8000000000001,805.3199999999999,89.48000000000013
796-12-2025,WH2,ExpressAir,Fashion accessories,62.12,10,6.212,2019-02-11,16:19,Cash,55.908,2.9,72,Normal,ES,F,2003-10-20,Apartado 64,8300100254.0,64.0,Mónica Aranda Unzurrunzaga,15.312799452429843,February,621.1999999999999,559.08,62.11999999999989
510-95-6347,WH3,ExpressAir,Food and beverages,48.52,3,4.852,2019-03-05,18:17,Ewallet,43.668,2.9,73,Member,ES,F,1990-10-23,C. Conde de Peñalver 68,8300100485.0,68.0,Pilar Bachs Pallarés,28.36413415468857,March,145.56,131.004,14.556000000000012
841-35-6630,WH2,Regular Air,Electronic accessories,75.91,6,3.7955,2019-03-09,18:21,Cash,68.319,2.7,74,Normal,IT,F,1967-10-29,Via Sile 3,4800102386.0,3.0,Pamela Sandrucci,51.35934291581109,March,455.46,409.914,45.54599999999999
287-21-9091,WH1,ExpressAir,Home and lifestyle,74.67,9,7.467,2019-01-22,10:55,Ewallet,67.203,4.5,75,Normal,US,M,1961-10-30,101 Knoll Ridge Ln,9260108068.0,101.0,Mikel Spetz,57.229295003422315,January,672.03,604.827,67.20299999999997
732-94-0499,WH2,ExpressAir,Electronic accessories,41.65,10,4.165,2019-01-13,17:04,Credit card,37.485,2.7,76,Normal,GB,F,2002-10-20,1 Star Barn Road,9250100780.0,1.0,Marcelle Fani-Kayode,16.23271731690623,January,416.5,374.85,41.64999999999998
263-10-3913,WH2,Regular Air,Fashion accessories,49.04,9,2.452,2019-01-09,14:20,Credit card,44.136,4.2,77,Member,DE,F,1949-11-02,Xantenerstr. 81,3940105972.0,81.0,Stefanie Gecht,69.1854893908282,January,441.36,397.22400000000005,44.13599999999997
381-20-0914,WH1,Regular Air,Fashion accessories,20.01,9,1.0005,2019-01-12,15:48,Credit card,18.009,3.3,78,Member,GB,M,2001-10-20,18 Doncaster Road,9250106861.0,18.0,Steph Usborne,17.229295003422312,January,180.09,162.08100000000002,18.008999999999986
829-49-1914,WH2,Special Air  ,Food and beverages,78.31,10,6.2648,2019-03-05,16:24,Ewallet,70.479,4.7,79,Member,US,F,1995-10-22,9658 Dinwiddie Ct,9260101874.0,9658.0,Najma Hicks,23.367556468172484,March,783.1,704.79,78.31000000000006
756-01-7507,WH2,ExpressAir,Health and beauty,20.38,5,2.038,2019-01-22,18:56,Cash,18.342,2.6,80,Normal,NO,F,1970-10-28,Fred Olsens Gate 2,6850100310.0,2.0,Therese Martinsen,48.23545516769336,January,101.89999999999999,91.71,10.189999999999998
870-72-4431,WH2,ExpressAir,Health and beauty,99.19,6,9.919,2019-01-21,14:42,Credit card,89.271,3.3,81,Normal,AT,M,1967-10-29,Fleischmarkt 2,1650100184.0,2.0,Tianzhu Egger,51.23066392881588,January,595.14,535.626,59.51400000000001
847-38-7188,WH3,ExpressAir,Food and beverages,96.68,3,9.668,2019-01-26,19:56,Ewallet,87.012,2.6,82,Normal,FI,M,1952-11-01,Elimäenkatu 20,3400100450.0,20.0,Juha Viholainen,66.2340862422998,January,290.04,261.036,29.00400000000002
480-63-2856,WH2,Regular Air,Food and beverages,19.25,8,0.9625,2019-01-23,18:37,Ewallet,17.325,4.0,83,Normal,DE,F,1969-10-28,Friedrichsplatz 2,3940102074.0,2.0,Katrin Singldinger,49.23750855578371,January,154.0,138.6,15.400000000000006
787-56-0757,WH2,Special Air  ,Food and beverages,80.36,4,6.4288,2019-02-23,18:45,Credit card,72.324,4.1,84,Member,FR,F,1956-10-31,Route d'Espagne 97,3500101472.0,97.0,Catherine Gaillard,62.313483915126625,February,321.44,289.296,32.144000000000005
360-39-5055,WH2,Regular Air,Sports and travel,48.91,5,2.4455,2019-03-09,10:17,Cash,44.019,4.4,85,Member,US,F,1958-10-31,1506 Dahlgreen Rd,9260129415.0,1506.0,Neatta Duckworth,60.35318275154004,March,244.54999999999998,220.095,24.454999999999984
730-50-9884,WH2,Regular Air,Sports and travel,83.06,7,4.153,2019-03-05,14:31,Ewallet,74.754,4.5,86,Normal,GB,M,1996-10-21,5 Coombe Road,9250102487.0,5.0,Andy Goldsmith,22.368240930869266,March,581.4200000000001,523.278,58.14200000000005
362-58-8315,WH2,Special Air  ,Fashion accessories,76.52,5,6.1216,2019-03-25,10:23,Cash,68.868,3.7,87,Normal,FR,F,1963-10-30,Rue d'Assas 90,3500101043.0,90.0,Marie-Helene Destombes,55.40041067761807,March,382.59999999999997,344.34,38.25999999999999
633-44-8566,WH1,Special Air  ,Food and beverages,49.38,7,3.9504,2019-03-27,20:35,Credit card,44.442,3.7,88,Member,US,M,1975-10-27,3815 Askham Dr,9260100179.0,3815.0,Attila Gibbs,43.41409993155373,March,345.66,311.094,34.56600000000003
504-35-8843,WH1,Special Air  ,Sports and travel,42.47,1,3.3976,2019-01-02,16:57,Cash,38.223,3.5,89,Normal,US,F,1967-10-29,2572 Glenharden Dr,9260116551.0,2572.0,Wynella Lewis,51.17864476386037,January,42.47,38.223,4.247
318-68-5053,WH3,ExpressAir,Health and beauty,76.99,6,7.699,2019-02-27,17:55,Cash,69.291,3.6,90,Normal,US,F,1970-10-28,252 Clay St,9260111614.0,252.0,Kyndal Hooks,48.33401779603012,February,461.93999999999994,415.746,46.19399999999996
565-80-5980,WH2,ExpressAir,Home and lifestyle,47.38,4,4.738,2019-01-23,10:25,Cash,42.642,2.9,91,Member,IT,F,1950-11-02,Via C.Saladini 27,4800102008.0,27.0,Rosy Dalli,68.22450376454483,January,189.52,170.568,18.951999999999998
225-32-0908,WH2,ExpressAir,Sports and travel,44.86,10,4.486,2019-01-26,19:54,Ewallet,40.374,4.6,92,Normal,US,M,1981-10-25,421 Blue Horizon Dr,9260117676.0,421.0,Lendon Celii,37.2539356605065,January,448.6,403.74,44.860000000000014
873-51-0671,WH1,ExpressAir,Sports and travel,21.98,7,2.198,2019-01-10,16:42,Ewallet,19.782,4.4,93,Member,CH,F,1951-11-02,General Suisan Quai 19,8550100104.0,19.0,Nathalie Mühlig,67.1895961670089,January,153.86,138.474,15.386000000000024
152-08-9985,WH3,Special Air  ,Health and beauty,64.36,9,5.1488,2019-03-12,12:09,Credit card,57.924,4.5,94,Member,GB,F,1976-10-26,15 Cavendish Sq,9250103281.0,15.0,Samantha Best,42.37371663244353,March,579.24,521.316,57.92399999999998
512-91-0811,WH2,Regular Air,Health and beauty,89.75,1,4.4875,2019-02-06,20:05,Credit card,80.775,4.6,95,Normal,NL,M,2005-10-19,Verwersstraat 13,6300100015.0,13.0,F.R.E. Kuijpers,13.300479123887747,February,89.75,80.775,8.974999999999994
594-34-4444,WH1,Regular Air,Electronic accessories,97.16,1,4.858,2019-03-08,20:38,Ewallet,87.444,3.8,96,Normal,GB,M,2004-10-19,1 Burston Rd,9250103201.0,1.0,Jim Coates,14.381930184804927,March,97.16,87.444,9.715999999999994
766-85-7061,WH3,Regular Air,Health and beauty,87.87,10,4.3935,2019-03-29,10:25,Ewallet,79.083,3.6,97,Normal,ES,M,1971-10-28,C. Industria 36,8300100326.0,36.0,Francisco Izquierdo Pereira,47.41683778234086,March,878.7,790.8299999999999,87.87000000000012
871-39-9221,WH2,Special Air  ,Electronic accessories,12.45,6,0.996,2019-02-09,13:11,Cash,11.205,4.8,98,Normal,US,F,1965-10-29,286 Arthur Pierce Rd,9260108396.0,286.0,Pershell Wittich,53.281314168377826,February,74.69999999999999,67.23,7.469999999999985
865-92-6136,WH1,Special Air  ,Food and beverages,52.75,3,4.22,2019-03-23,10:16,Ewallet,47.475,2.6,99,Normal,US,F,1958-10-31,3627 Dahlgreen Rd,9260103908.0,3627.0,Geanie Riddle,60.39151266255989,March,158.25,142.425,15.824999999999989
733-01-9107,WH3,Special Air  ,Home and lifestyle,82.7,6,6.616,2019-03-05,18:14,Cash,74.43,3.7,100,Normal,ZA,M,1985-10-24,Fourways Office Park 1,8010100032.0,1.0,George Lotz,33.360711841204655,March,496.20000000000005,446.58000000000004,49.620000000000005
